#【时间】@AOW_var_[巨构简写]_[巨构阶段]_TIME
#【资源】@AOW_var_[巨构简写]_[巨构阶段]_[COST/UPKP/PRDC]_[具体资源]_[特定行星]
#【修正】@AOW_var_[巨构简写]_[巨构阶段]_[修正代码]


######################## 小型巨构 ########################

#星光竞技场
@AOW_var_SA_1_TIME = 360
@AOW_var_SA_1_COST_alloys = 500
@AOW_var_SA_1_COST_unity = 750
@AOW_var_SA_1_UPKP_energy = 10
@AOW_var_SA_1_PRDC_unity = 30
@AOW_var_SA_1_PRDC_research = 10

#星状开采站
@AOW_var_AMS_1_TIME = 360
@AOW_var_AMS_1_COST_alloys = 500
@AOW_var_AMS_1_COST_unity = 500
@AOW_var_AMS_1_UPKP_energy = 10
@AOW_var_AMS_1_PRDC_minerals_Asteroid = 50
@AOW_var_AMS_1_PRDC_motes_Asteroid = 2
@AOW_var_AMS_1_PRDC_minerals_CrystalAsteroid = 50
@AOW_var_AMS_1_PRDC_crystal_CrystalAsteroid = 2
@AOW_var_AMS_1_PRDC_energy_IceAsteroid = 25
@AOW_var_AMS_1_PRDC_minerals_IceAsteroid = 25
@AOW_var_AMS_1_PRDC_crystal_IceAsteroid = 2

#星空传感站
@AOW_var_SSS_1_time = 360
@AOW_var_SSS_1_COST_alloys = 500
@AOW_var_SSS_1_COST_unity = 500
@AOW_var_SSS_1_UPKP_energy = 5
@AOW_var_SSS_1_sensor_range = 8
@AOW_var_SSS_1_hyperlane_range = 10

#卫星防御基地
@AOW_var_SDB_1_TIME = 900
@AOW_var_SDB_1_COST_alloys = 1000
@AOW_var_SDB_1_COST_unity = 500

######################## 普通巨构 ########################
#奇观建设局
@AOW_var_WCB_0_TIME = 1800
@AOW_var_WCB_0_COST_alloys = 5000
@AOW_var_WCB_0_COST_unity = 2500
@AOW_var_WCB_0_UPKP_energy = 10
@AOW_var_WCB_1_TIME = 3600
@AOW_var_WCB_1_COST_alloys = 15000
@AOW_var_WCB_1_COST_unity = 2500
@AOW_var_WCB_1_PRDC_living_metal = 5
@AOW_var_WCB_1_UPKP_alloys = 40
@AOW_var_WCB_1_UPKP_energy = 40
@AOW_var_WCB_1_UPKP_minerals = 80
@AOW_var_WCB_2_TIME = 3600
@AOW_var_WCB_2_COST_alloys = 15000
@AOW_var_WCB_2_COST_unity = 2500
@AOW_var_WCB_2_PRDC_living_metal = 10
@AOW_var_WCB_2_UPKP_alloys = 80
@AOW_var_WCB_2_UPKP_energy = 80
@AOW_var_WCB_2_UPKP_minerals = 160
@AOW_var_WCB_3_TIME = 3600
@AOW_var_WCB_3_COST_alloys = 15000
@AOW_var_WCB_3_COST_unity = 2500
@AOW_var_WCB_3_PRDC_living_metal = 15
@AOW_var_WCB_3_UPKP_alloys = 120
@AOW_var_WCB_3_UPKP_energy = 120
@AOW_var_WCB_3_UPKP_minerals = 240

#行星波动炮
@AOW_var_PBS_0_TIME = 1800
@AOW_var_PBS_0_COST_alloys = 3000
@AOW_var_PBS_0_COST_influence = 100
@AOW_var_PBS_0_UPKP_energy = 10
@AOW_var_PBS_1_TIME = 1800
@AOW_var_PBS_1_COST_alloys = 7500
@AOW_var_PBS_1_UPKP_energy = 12.5
@AOW_var_PBS_1_UPKP_alloys = 12.5
@AOW_var_PBS_2_TIME = 1800
@AOW_var_PBS_2_COST_alloys = 7500
@AOW_var_PBS_2_UPKP_energy = 25
@AOW_var_PBS_2_UPKP_alloys = 25
@AOW_var_PBS_3_TIME = 1800
@AOW_var_PBS_3_COST_alloys = 7500
